product_type,web-scraper-order,web-scraper-start-url,productname_raw,price_raw,weight_raw,pieces_raw
butter,1698740584-52,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Die Butter Kochbutter,4.45,250g,
butter,1698740584-53,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Becel Classic,2.7,225g,
eggs,1698742811-1,https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance,Naturafarm Eier aus Freilandhaltung 53g+ 10 Stück,6.1,,10.0
eggs,1698742811-2,https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance,Naturaplan Bio Eier aus Freilandhaltung 60g+ 6 Stück,5.2,,6.0
eggs,1698742811-3,https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance,Bio Eier Schweiz aus Freilandhaltung 10 Stück 53g+,7.95,,10.0
eggs,1698742811-4,https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance,Schweizer Eier Bodenhaltung 53g+ 10 Stück,4.1,,10.0
eggs,1698742811-5,https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance,Prix Garantie Eier Bodenhaltung 53g+ 15 Stück,4.25,,15.0
eggs,1698742811-6,https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance,Naturafarm Eier aus Freilandhaltung 53g+ 6 Stück,3.95,,6.0
eggs,1698742811-7,https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance,Naturaplan Bio Eier aus Freilandhaltung 53g+ 4 Stück,3.55,,4.0
eggs,1698742811-8,https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance,Naturafarm Eier aus Freilandhaltung 63g+ 4 Stück,2.95,,4.0
eggs,1698742811-9,https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance,Eier Freiland Gross 63g+ 6 Stück,4.1,,6.0
eggs,1698742811-10,https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance,Naturaplan Bio Regio Eier Züribiet 60g+ 6 Stück,5.95,,6.0
eggs,1698742811-11,https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance,Naturafarm Eier aus Freilandhaltung 70g+ 6 Stück,4.95,,6.0
eggs,1698742811-12,https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance,Qualité & Prix Eier Freiland Schweiz 10 Stück,4.95,,10.0
eggs,1698742811-13,https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance,Naturafarm Eier aus Freilandhaltung 53g+ 12 Stück,6.2,,12.0
eggs,1698742811-14,https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance,Naturaplan Bio Eier Schweiz Demeter 6 Stück 53g+,6.8,,6.0
eggs,1698742811-15,https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance,Prix Garantie Eier Bodenhaltung 10 Stück,3.95,,10.0
eggs,1698742811-16,https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance,Flüssiges Eiweiss,4.5,,2.0
flour,1698742722-1,https://www.coop.ch/de/search?page=3&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Gelierzucker Suisse Garantie,2.4,1kg,
